ID;Type;Time;Symbol;Comment;Amount
3020;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:50:00;ADBE.US;OPEN BUY 5 @ 600.00;-3000.0
3021;Dividend;15.01.2024 13:00:00;ADBE.US;ADBE.US USD 0.15/ SHR;0.75
3022;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:55:00;CSCO.US;OPEN BUY 20 @ 60.00;-1200.0
3023;Dividend;15.01.2024 13:00:00;CSCO.US;CSCO.US USD 0.20/ SHR;4.0
3024;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:00:00;ORCL.US;OPEN BUY 10 @ 100.00;-1000.0
3025;Dividend;15.01.2024 13:00:00;ORCL.US;ORCL.US USD 0.25/ SHR;2.5
3026;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:05:00;IBM.US;OPEN BUY 5 @ 150.00;-750.0
3027;Dividend;15.01.2024 13:00:00;IBM.US;IBM.US USD 0.30/ SHR;1.5
3028;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:10:00;QCOM.US;OPEN BUY 10 @ 120.00;-1200.0
3029;Dividend;15.01.2024 13:00:00;QCOM.US;QCOM.US USD 0.35/ SHR;3.5
3030;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:15:00;TXN.US;OPEN BUY 10 @ 180.00;-1800.0
3031;Dividend;15.01.2024 13:00:00;TXN.US;TXN.US USD 0.40/ SHR;4.0
3032;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:20:00;AVGO.US;OPEN BUY 5 @ 500.00;-2500.0
3033;Dividend;15.01.2024 13:00:00;AVGO.US;AVGO.US USD 0.50/ SHR;2.5
3034;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:25:00;AMD.US;OPEN BUY 10 @ 100.00;-1000.0
3035;Dividend;15.01.2024 13:00:00;AMD.US;AMD.US USD 0.10/ SHR;1.0
3036;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:30:00;PYPL.US;OPEN BUY 10 @ 80.00;-800.0
3037;Dividend;15.01.2024 13:00:00;PYPL.US;PYPL.US USD 0.15/ SHR;1.5
3038;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:35:00;CRM.US;OPEN BUY 5 @ 200.00;-1000.0
3039;Dividend;15.01.2024 13:00:00;CRM.US;CRM.US USD 0.20/ SHR;1.0
3040;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:40:00;V.US;OPEN BUY 5 @ 250.00;-1250.0
3041;Dividend;15.01.2024 13:00:00;V.US;V.US USD 0.25/ SHR;1.25
3042;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:45:00;MA.US;OPEN BUY 5 @ 300.00;-1500.0
3043;Dividend;15.01.2024 13:00:00;MA.US;MA.US USD 0.30/ SHR;1.5
3044;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:50:00;DIS.US;OPEN BUY 10 @ 100.00;-1000.0
3045;Dividend;15.01.2024 13:00:00;DIS.US;DIS.US USD 0.35/ SHR;3.5
3046;Cumpărare Acțiuni/ETF-uri;01.01.2024 11:55:00;NKE.US;OPEN BUY 10 @ 120.00;-1200.0
3047;Dividend;15.01.2024 13:00:00;NKE.US;NKE.US USD 0.40/ SHR;4.0
3048;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:00:00;PEP.US;OPEN BUY 10 @ 150.00;-1500.0
3049;Dividend;15.01.2024 13:00:00;PEP.US;PEP.US USD 0.45/ SHR;4.5
3050;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:05:00;KO.US;OPEN BUY 20 @ 60.00;-1200.0
3051;Dividend;15.01.2024 13:00:00;KO.US;KO.US USD 0.50/ SHR;10.0
3052;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:10:00;PG.US;OPEN BUY 10 @ 140.00;-1400.0
3053;Dividend;15.01.2024 13:00:00;PG.US;PG.US USD 0.55/ SHR;5.5
3054;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:15:00;WMT.US;OPEN BUY 10 @ 150.00;-1500.0
3055;Dividend;15.01.2024 13:00:00;WMT.US;WMT.US USD 0.60/ SHR;6.0
3056;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:20:00;HD.US;OPEN BUY 5 @ 300.00;-1500.0
3057;Dividend;15.01.2024 13:00:00;HD.US;HD.US USD 0.65/ SHR;3.25
3058;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:25:00;LOW.US;OPEN BUY 10 @ 200.00;-2000.0
3059;Dividend;15.01.2024 13:00:00;LOW.US;LOW.US USD 0.70/ SHR;7.0
3060;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:30:00;TGT.US;OPEN BUY 10 @ 180.00;-1800.0
3061;Dividend;15.01.2024 13:00:00;TGT.US;TGT.US USD 0.75/ SHR;7.5
3062;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:35:00;COST.US;OPEN BUY 5 @ 400.00;-2000.0
3063;Dividend;15.01.2024 13:00:00;COST.US;COST.US USD 0.80/ SHR;4.0
3064;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:40:00;SBUX.US;OPEN BUY 10 @ 100.00;-1000.0
3065;Dividend;15.01.2024 13:00:00;SBUX.US;SBUX.US USD 0.85/ SHR;8.5
3066;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:45:00;MCD.US;OPEN BUY 10 @ 250.00;-2500.0
3067;Dividend;15.01.2024 13:00:00;MCD.US;MCD.US USD 0.90/ SHR;9.0
3068;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:50:00;YUM.US;OPEN BUY 10 @ 120.00;-1200.0
3069;Dividend;15.01.2024 13:00:00;YUM.US;YUM.US USD 0.95/ SHR;9.5
3070;Cumpărare Acțiuni/ETF-uri;01.01.2024 12:55:00;DPZ.US;OPEN BUY 10 @ 350.00;-3500.0
3071;Dividend;15.01.2024 13:00:00;DPZ.US;DPZ.US USD 1.00/ SHR;10.0
